,DestinationID,Name,Latitude,Longitude,Characteristics
0,1,Munnar Tea Garden View Point,10.04210568,77.03994022,"scenic, tea, photography"
1,2,Pomathendu Munnar Tea Garden View,10.05964864,77.06395959,"scenic, tea, photography"
2,3,Munnar Pothamendu,10.03655632,77.07679666,"tea, greenery, serene"
3,4,Munnar Tea Hill Hiking Spot,10.02838226,77.04557394,"trekking, nature, adventure"
4,5,Wonder Valley Adventure Amusement Park Munnar,10.02715884,77.0355704,"adventure, amusement, family"
5,6,Dream Land Adventure Amusement Park,10.01670304,77.04700451,"adventure, amusement, family"
6,7,Munnar Lakshmi Tea Estate,10.06375952,76.99922583,"scenic, tea, photography"
7,8,Photo Shoot Point Munnar,10.05998273,77.01679705,"photography, nature"
8,9,Munnar Tea Museum,10.09424312,77.05040434,"tea, artifacts, exhibits"
9,10,Kolukammai Tea Estate-Jeep Tour and Birdwatching,10.08889248,77.05945595,"tea, explore, birdwatching"
10,11,Munnar Botanical Estate,10.08306517,77.07088651,"garden, flora, education"
11,12,Blossom Hudel Park-Garden,10.06907829,77.0665441,"relaxation, greenery, garden"
12,13,Ramaswamy Dam Lake View Point,10.06812788,77.06735203,"dam, photography, boating"
13,14,Carmelgiri Elepphant Park,10.09514322,77.09931319,"elephant, wildlife,  photography"
14,15,Eco Point Munnar-Lake,10.12229322,77.15435932,"tourism, nature, serene"
15,16,Matupettu Dam Lake,10.10856877,77.12380898,"dam, boating, scenic"
16,17,Munnar Rose Garden,10.08638901,77.07583206,"rose, floral, aroma, garden"
17,18,Attukkad Waterfall Munnar,10.05337705,77.05872179,"waterfall, nature, photography"
18,19,Munnar Forest Adventure,10.08458313,77.06041801,"adventure, nature, wildlife"
19,20,Birla Waterfall,10.30518545,76.94875998,"waterfall, serene, photography"
20,21,Sholayar Lake Dam View PT,10.307557,76.88649688,"dam, photography, nature"
21,22,Chinna Kalar Waterfall,10.3023814,77.02870892,"waterfall, serene, photography"
22,23,Iraichal Parai Waterfall,10.33713775,77.00832747,"waterfall, nature, photography"
23,24,Valparai Market,10.32564473,76.95292258,"market, shopping"
24,25,Thirumoorthy Waterfall and Temple,10.45129067,77.1595609,"waterfall, temple, photography"
25,26,Munnar Town Centre Bazaar,10.08676436,77.06108206,"market, shopping"
26,27,Tea Estate Poothakuzzy,10.09293264,77.05653258,"tea, scenic, plantation"
27,28,Kadalukaani Paani Sunset,8.747832074,76.90551712,"sunset, nature, serene, photography"
28,29,Meenmutti Waterfall,8.781825023,76.91789501,"waterfall, trekking, nature"
29,30,RajaRaviVermaArtGallery,8.768349999,76.86704609,"art, exhibit, cultural"
30,31,CHithirapuram Tea Estate Path,10.03260661,77.0433119,"tea, plantation"
31,32,Tata Tea Consumer Centre,10.08881626,77.05564481,tea
32,33,Thirumeny Cultural Centre Munnar Plays and Dances,10.0881485,77.06156535,"cultural, traditional, entertainment"
33,34,Nayakammad Waterfall,10.13584532,77.06064668,"waterfall, nature, photography"
34,35,Evaikulam Waterfall,10.14487387,77.04328057,"waterfall, serene, photography"
